"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Fasullo J.T.","Fasullo, John T. (6602098362)","6602098362","Robust land-ocean contrasts in energy and water cycle feedbacks","2010","Journal of Climate","23","17","","4677","4693","16","55","10.1175/2010JCLI3451.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958099032&doi=10.1175%2f2010JCLI3451.1&partnerID=40&md5=028590ce55503f3848c39f54165a5dd5","Article","Final","","Scopus","2-s2.0-77958099032"
"Wang H.; Cao R.; Zeng W.","Wang, Huihui (57190074297); Cao, Ruoxin (57218194282); Zeng, Weihua (8969607600)","57190074297; 57218194282; 8969607600","Multi-agent based and system dynamics models integrated simulation of urban commuting relevant carbon dioxide emission reduction policy in China","2020","Journal of Cleaner Production","272","","122620","","","","22","10.1016/j.jclepro.2020.122620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088220282&doi=10.1016%2fj.jclepro.2020.122620&partnerID=40&md5=171efa0f8199dc70d92e7a22ac2c81d6","Article","Final","","Scopus","2-s2.0-85088220282"
"Bouziane S.E.; Khadir M.T.; Dugdale J.","Bouziane, Seif Eddine (57216892844); Khadir, Mohamed Tarek (24401298600); Dugdale, Julie (13404986000)","57216892844; 24401298600; 13404986000","A collaborative predictive multi-agent system for forecasting carbon emissions related to energy consumption","2021","Multiagent and Grid Systems","17","1","","39","58","19","5","10.3233/MGS-210342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105021316&doi=10.3233%2fMGS-210342&partnerID=40&md5=a235fc2b81187b1cb022380c85b2fd34","Article","Final","","Scopus","2-s2.0-85105021316"
"Saba C.S.","Saba, Charles Shaaba (57209468646)","57209468646","Nexus between CO2 emissions, renewable energy consumption, militarisation, and economic growth in South Africa: Evidence from using novel dynamic ARDL simulations","2023","Renewable Energy","205","","","349","365","16","7","10.1016/j.renene.2023.01.070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147114493&doi=10.1016%2fj.renene.2023.01.070&partnerID=40&md5=19f5df9b8e216597ec6b1978e730c8cc","Article","Final","","Scopus","2-s2.0-85147114493"
"Mobini M.; Meyer J.-C.; Trippe F.; Sowlati T.; Fröhling M.; Schultmann F.","Mobini, Mahdi (36135716600); Meyer, Jörn-Christian (55903180100); Trippe, Frederik (36338067400); Sowlati, Taraneh (7004194496); Fröhling, Magnus (23766956500); Schultmann, Frank (6602564223)","36135716600; 55903180100; 36338067400; 7004194496; 23766956500; 6602564223","Assessing the integration of torrefaction into wood pellet production","2014","Journal of Cleaner Production","78","","","216","225","9","66","10.1016/j.jclepro.2014.04.071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904254823&doi=10.1016%2fj.jclepro.2014.04.071&partnerID=40&md5=57e4895f239061b5b8c3ec940110ba0c","Article","Final","","Scopus","2-s2.0-84904254823"
"Thimmapuram P.R.; Kim J.; Botterud A.; Nam Y.","Thimmapuram, Prakash R. (56635129000); Kim, Jinho (56812679200); Botterud, Audun (23011593900); Nam, Youngwoo (57203176677)","56635129000; 56812679200; 23011593900; 57203176677","Modeling and simulation of price elasticity of demand using an agent-based model","2010","Innovative Smart Grid Technologies Conference, ISGT 2010","","","5434739","","","","57","10.1109/ISGT.2010.5434739","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952152472&doi=10.1109%2fISGT.2010.5434739&partnerID=40&md5=570dd2e101124197bddce4295d31159e","Conference paper","Final","","Scopus","2-s2.0-77952152472"
"Liu G.; Wen F.; Xue Y.","Liu, Guozhong (56082617300); Wen, Fushuan (7102815249); Xue, Yusheng (7402270481)","56082617300; 7102815249; 7402270481","Impacts of emissions trading and renewable energy sources development schemes on electricity market operation","2010","Dianli Xitong Zidonghua/Automation of Electric Power Systems","34","7","","21","25","4","12","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952113161&partnerID=40&md5=f1f55c1cf369fecd4634925a2e4ec4f3","Article","Final","","Scopus","2-s2.0-77952113161"
"Kurkovsky A.","Kurkovsky, Anatoly (6506461461)","6506461461","Requirement analysis for emissions trading management systems using a simulation approach","2007","Proceedings of the IASTED Asian Conference on Modelling and Simulation","","","","83","88","5","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-62649140094&partnerID=40&md5=a2a22d59c0110e1402189627556d8b47","Conference paper","Final","","Scopus","2-s2.0-62649140094"
"Nonomura K.; Hiekata K.; Yoshida J.","Nonomura, Kazuho (57970173100); Hiekata, Kazuo (15049529800); Yoshida, Junki (57969004100)","57970173100; 15049529800; 57969004100","International Regulation Design for Reduction of GHG Emission in Maritime Shipping by Agent-Based Simulation","2022","Advances in Transdisciplinary Engineering","28","","","207","216","9","0","10.3233/ATDE220648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142148622&doi=10.3233%2fATDE220648&partnerID=40&md5=7a2dea9728f731f53129e782ae9f87c6","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142148622"
"Michaelis P.","Michaelis, Peter (6603737923)","6603737923","On the economics of greenhouse gas accumulation: A simulation approach","1994","European Journal of Political Economy","10","4","","707","726","19","1","10.1016/0176-2680(94)90034-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745158714&doi=10.1016%2f0176-2680%2894%2990034-5&partnerID=40&md5=9aa472218c6c92aa9e2d0158399c7a96","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-33745158714"
"Polishchuk Y.; Polishchuk V.","Polishchuk, Yury (6701744203); Polishchuk, Vladimir (56985630500)","6701744203; 56985630500","Forecast of thermokarst lakes dynamics in permafrost based on geo-simulation modeling and remote sensing data","2017","CEUR Workshop Proceedings","1839","","","393","405","12","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020503299&partnerID=40&md5=f5596b878bd9e63141c18875187bc03e","Conference paper","Final","","Scopus","2-s2.0-85020503299"
"Chui E.H.; Majeski A.J.; Lu D.Y.; Hughes R.; Gao H.; McCalden D.J.; Anthony E.J.","Chui, E.H. (7004905059); Majeski, A.J. (6507383291); Lu, D.Y. (7403079682); Hughes, R. (7404299982); Gao, H. (35096285700); McCalden, D.J. (24544439700); Anthony, E.J. (57201400853)","7004905059; 6507383291; 7403079682; 7404299982; 35096285700; 24544439700; 57201400853","Simulation of entrained flow coal gasification","2009","Energy Procedia","1","1","","503","509","6","28","10.1016/j.egypro.2009.01.067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650155187&doi=10.1016%2fj.egypro.2009.01.067&partnerID=40&md5=2807b904a777ed5242a053c7557271fc","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-67650155187"
